tissue	replicates	total.reads	runs
1st-PB1	.	19054814	SRR950976
1st-PB2	.	24346847	SRR950977
1st-PB3	.	19926829	SRR951019
2-cell1	.	18494789	SRR950980
2-cell2	.	28407553	SRR950981
2nd-PB1	.	27612904	SRR950978
2nd-PB2	.	29538440	SRR950979
4-cell1	.	49930006	SRR950982
4-cell2	.	29459042	SRR950983
8-cell1	rep1,rep2	18439985	SRR950984,SRR950985
8-cell2	rep1,rep2	18411115	SRR950986,SRR950987
8-cell3	rep1,rep2	24167297	SRR950988,SRR950989
ICM1	rep1,rep2	44356448	SRR950990,SRR950991
ICM2	.	25390088	SRR950992
ICM3	.	24028269	SRR950993
MII-Oocyte1	.	31324294	SRR950994
MII-Oocyte2	.	36161928	SRR950995
Morula1	rep1,rep2	21366884	SRR950996,SRR950997
Morula2	rep1,rep2	18252235	SRR950998,SRR950999
Morula3	rep1,rep2	18454238	SRR951000,SRR951001
Postimplantation1	rep1,rep2	33538771	SRR951002,SRR951003
Postimplantation2	rep1,rep2	30183523	SRR951004,SRR951005
Postimplantation3	rep1,rep2	27624293	SRR951006,SRR951007
Sperm1	.	10144406	SRR951008
Sperm2	.	20906531	SRR951009
Sperm3	.	23276912	SRR951010
Sperm4	.	29371875	SRR951011
TE1	rep1,rep2	19269727	SRR951012,SRR951013
TE2	rep1,rep2	20779347	SRR951014,SRR951015
TE3	.	25222928	SRR951016
Zygote1	.	45890346	SRR951017
Zygote2	.	29978135	SRR951018
